,Entity,Date,Tests,Cases,Deaths,Pososto
11802,Greece,2020-02-26,520.0,1.0,1.0,0.0
11803,Greece,2020-02-27,520.0,3.0,1.0,0.0
11804,Greece,2020-02-28,520.0,4.0,1.0,0.0
11805,Greece,2020-02-29,520.0,4.0,1.0,0.0
11806,Greece,2020-03-01,520.0,7.0,1.0,0.01
11807,Greece,2020-03-02,520.0,7.0,1.0,0.0
11808,Greece,2020-03-03,520.0,7.0,1.0,0.0
11809,Greece,2020-03-04,520.0,9.0,1.0,0.0
11810,Greece,2020-03-05,520.0,31.0,1.0,0.04
11811,Greece,2020-03-06,520.0,45.0,1.0,0.03
11812,Greece,2020-03-07,520.0,46.0,1.0,0.0
11813,Greece,2020-03-08,520.0,73.0,1.0,0.05
11814,Greece,2020-03-09,520.0,73.0,1.0,0.0
11815,Greece,2020-03-10,520.0,89.0,1.0,0.03
11816,Greece,2020-03-11,520.0,99.0,1.0,0.02
11817,Greece,2020-03-12,520.0,99.0,1.0,0.0
11818,Greece,2020-03-13,520.0,190.0,1.0,0.18
11819,Greece,2020-03-14,700.0,228.0,3.0,0.05
11820,Greece,2020-03-15,600.0,331.0,4.0,0.17
11821,Greece,2020-03-16,320.0,331.0,4.0,0.0
11822,Greece,2020-03-17,658.0,387.0,5.0,0.09
11823,Greece,2020-03-18,658.0,418.0,5.0,0.05
11824,Greece,2020-03-19,658.0,418.0,6.0,0.0
11825,Greece,2020-03-20,658.0,495.0,6.0,0.12
11826,Greece,2020-03-21,658.0,530.0,13.0,0.05
11827,Greece,2020-03-22,176.0,624.0,15.0,0.53
11828,Greece,2020-03-23,638.0,695.0,17.0,0.11
11829,Greece,2020-03-24,427.0,743.0,20.0,0.11
11830,Greece,2020-03-25,1424.0,821.0,22.0,0.05
11831,Greece,2020-03-26,886.0,892.0,26.0,0.08
11832,Greece,2020-03-27,886.0,966.0,28.0,0.08
11833,Greece,2020-03-28,886.0,1061.0,32.0,0.11
11834,Greece,2020-03-29,788.0,1156.0,38.0,0.12
11835,Greece,2020-03-30,810.0,1212.0,43.0,0.07
11836,Greece,2020-03-31,771.0,1314.0,49.0,0.13
11837,Greece,2020-04-01,618.0,1415.0,50.0,0.16
11838,Greece,2020-04-02,1494.0,1544.0,53.0,0.09
11839,Greece,2020-04-03,3593.0,1613.0,63.0,0.02
11840,Greece,2020-04-04,896.0,1673.0,68.0,0.07
11841,Greece,2020-04-05,2120.0,1735.0,73.0,0.03
11842,Greece,2020-04-06,740.0,1755.0,79.0,0.03
11843,Greece,2020-04-07,2391.0,1832.0,81.0,0.03
11844,Greece,2020-04-08,3944.0,1884.0,83.0,0.01
11845,Greece,2020-04-09,1106.0,1955.0,87.0,0.06
11846,Greece,2020-04-10,1798.0,2011.0,92.0,0.03
11847,Greece,2020-04-11,1912.0,2081.0,93.0,0.04
11848,Greece,2020-04-12,4917.0,2114.0,98.0,0.01
11849,Greece,2020-04-13,1170.0,2145.0,99.0,0.03
11850,Greece,2020-04-14,2001.0,2170.0,101.0,0.01
11851,Greece,2020-04-15,2001.0,2192.0,102.0,0.01
11852,Greece,2020-04-16,2001.0,2207.0,105.0,0.01
11853,Greece,2020-04-17,2255.0,2224.0,108.0,0.01
11854,Greece,2020-04-18,1645.0,2235.0,110.0,0.01
